,saga,books,number,finished
155,Otherworld,"['Bitten', 'Stolen', 'Haunted', 'Frostbitten', 'Broken', 'Dime Store Magic', 'Waking the Witch', 'Spell Bound', 'Living with the Dead', 'No Humans Involved', 'Personal Demon', 'Industrial Magic']",12,Yes
156,Wings,"['Wings', 'Spells', 'Illusions', 'Destined']",4,Yes
157,Sarah Agnes Prine,"['These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories', 'The Star Garden', ""Sarah's Quilt""]",3,Yes
158,Every Day,"['Every Day', 'Another Day']",2,No
159,The Tiger's Curse Series,"[""Tiger's Curse"", ""Tiger's Voyage"", ""Tiger's Quest"", ""Tiger's Destiny"", ""Tiger's Dream""]",5,No
160,Ranger's Apprentice,"['The Ruins of Gorlan', 'The Burning Bridge', ""Erak's Ransom"", 'The Kings of Clonmel', 'The Siege of Macindaw', 'The Emperor of Nihon-Ja', ""Halt's Peril"", 'The Lost Stories']",8,No
161,Unearthly,"['Unearthly', 'Boundless', 'Hallowed']",3,Yes
162,The Hollows,"['Dead Witch Walking', 'Every Which Way But Dead', 'The Good, the Bad, and the Undead', 'A Fistful of Charms', 'White Witch, Black Curse', 'For a Few Demons More', 'The Outlaw Demon Wails', 'Black Magic Sanction', 'Pale Demon', 'Ever After', 'The Undead Pool', 'Hollowland', 'Hollowmen', 'The Witch With No Name']",14,Yes
163,Kendra Chronicles,"['Beastly', 'Bewitching']",2,Yes
164,Blue Bloods,"['Blue Bloods', 'Masquerade', 'The Van Alen Legacy', 'Revelations', 'Misguided Angel', 'Lost in Time', 'Gates of Paradise']",7,No
165,The Devil Wears Prada,['The Devil Wears Prada'],1,No
166,An Ember in the Ashes,"['An Ember in the Ashes', 'A Torch Against the Night', 'A Reaper at the Gates']",3,No
167,Across the Universe,"['Across the Universe', 'A Million Suns', 'Shades of Earth']",3,Yes
168,French Trilogy,"['Birdsong: A Novel of Love and War', 'Charlotte Gray']",2,Yes
169,Nightshade,['Nightshade'],1,No
170,The Dresden Files,"['Storm Front', 'Dead Beat', 'Summer Knight', 'Fool Moon', 'Changes', 'Grave Peril', 'Proven Guilty', 'Death Masks', 'Turn Coat', 'White Night', 'Blood Rites', 'Small Favor', 'Cold Days', 'Skin Game', 'Ghost Story', 'Peace Talks', 'Battle Ground']",17,Yes
171,Evernight,"['Evernight', 'Stargazer', 'Hourglass', 'Afterlife', 'Balthazar']",5,Yes
172,Dirk Gently,"[""Dirk Gently's Holistic Detective Agency"", 'The Long Dark Tea-Time of the Soul', 'The Salmon of Doubt']",3,Yes
173,VanWest,"['The Past', 'The Present']",2,Yes
174,On Dublin Street,"['On Dublin Street', 'Down London Road', 'Echoes of Scotland Street', 'Before Jamaica Lane', 'Fall from India Place', 'Moonlight on Nightingale Way']",6,No
175,Alpha & Omega,"['Cry Wolf', 'Hunting Ground', 'Fair Game', 'Dead Heat']",4,No
176,Shades of Magic,"['A Darker Shade of Magic', 'A Conjuring of Light', 'A Gathering of Shadows']",3,No
177,Practical Magic,['Practical Magic'],1,Yes
178,Night Angel,"['The Way of Shadows', 'Beyond the Shadows', ""Shadow's Edge""]",3,Yes
179,Grim Reaper,['A Dirty Job'],1,No
180,Trylle,"['Switched', 'Torn', 'Ascend']",3,Yes
181,Phedre's Trilogy,"[""Kushiel's Dart"", ""Kushiel's Avatar"", ""Kushiel's Chosen""]",3,No
182,The Dark Artifices,"['Lady Midnight', 'Lord of Shadows', 'Queen of Air and Darkness']",3,No
183,Starcrossed,"['Starcrossed', 'Dreamless', 'Goddess', 'Bad Romeo']",4,Yes
184,Rosemary Beach,"['Fallen Too Far', 'Never Too Far', 'Forever Too Far', 'You Were Mine', 'One More Chance']",5,No
185,Triffids,['The Day of the Triffids'],1,No
186,The First Law,"['The Blade Itself', 'Last Argument of Kings', 'Before They Are Hanged']",3,Yes
187,Pretty Little Liars,"['Pretty Little Liars', 'Flawless', 'Perfect', 'Unbelievable', 'Wanted', 'Killer', 'Wicked', 'Heartless', 'Deadly', 'Twisted', 'Vicious', 'Crushed', 'Stunning']",13,No
188,Under the Never Sky,"['Under the Never Sky', 'Through the Ever Night', 'Into the Still Blue']",3,Yes
189,The Secrets of the Immortal Nicholas Flamel,"['The Alchemyst', 'The Sorceress', 'The Necromancer', 'The Magician', 'The Enchantress', 'The Warlock']",6,No
190,Halo,"['Halo', 'Hades', 'Halo: The Fall of Reach', 'Halo: Ghosts of Onyx', 'Halo: First Strike', 'Halo: The Flood', 'Halo: The Cole Protocol']",7,No
191,Sweet,"['Sweet Evil', 'Sweet Reckoning', 'Sweet', 'Sweet Addiction', 'Sweet Possession', 'Sweet Temptation', 'Sweet Seduction', 'Sweet Persuasion', 'Sweet Surrender']",9,No
192,Waverley Family,"['Garden Spells', 'First Frost']",2,Yes
193,Blood of Eden,"['The Immortal Rules', 'The Eternity Cure']",2,No
194,Kate Daniels,"['Magic Bites', 'Magic Strikes', 'Magic Rises', 'Magic Shifts', 'Magic Breaks', 'Magic Triumphs', 'Magic Binds']",7,No
195,Wait for You,"['Wait for You', 'Stay with Me', 'Be with Me', 'Forever with You', 'Fall with Me']",5,Yes
196,The Princess Diaries,"['The Princess Diaries', 'Princess in the Spotlight', 'Forever Princess', 'Princess in Love', 'Princess in Training', 'Princess in Pink', 'Princess Mia', 'Princess in Waiting', 'Party Princess', 'Princess on the Brink', 'Royal Wedding']",11,No
197,Darcy & Rachel,"['Something Borrowed', 'Something Blue']",2,Yes
198,Elantris,['Elantris'],1,Yes
199,New Crobuzon,"['Perdido Street Station', 'The Scar']",2,Yes
200,Damar,"['The Blue Sword', 'The Hero and the Crown']",2,No
201,Mercy Thompson,"['Iron Kissed', 'Blood Bound', 'Bone Crossed', 'Silver Borne', 'River Marked', 'Moon Called', 'Frost Burned', 'Fire Touched', 'Silence Fallen']",9,Yes
202,The Illuminae Files,"['Illuminae', 'Gemina', 'Obsidio']",3,Yes
203,Ancient Egypt,"['River God', 'The Seventh Scroll', 'Warlock', 'The Quest']",4,Yes
204,The Belgariad,"['Pawn of Prophecy', ""Enchanters' End Game"", 'Queen of Sorcery', 'Castle of Wizardry', ""Magician's Gambit""]",5,Yes
205,Burned,"['Burned', 'Smoke']",2,Yes
206,Pushing the Limits,"['Pushing the Limits', 'Crash into You']",2,No
207,Demon Cycle,"['The Warded Man', 'The Desert Spear', 'The Daylight War', 'The Skull Throne', 'The Core']",5,No
208,Impulse,"['Impulse', 'Perfect']",2,No
209,Old Man's War,"[""Old Man's War"", 'The Last Colony', 'The Ghost Brigades']",3,No
210,Villains,"['Vicious', 'Vengeful', 'Mother Knows Best']",3,Yes
211,Arthurian Saga,"['The Crystal Cave', 'The Hollow Hills', 'The Last Enchantment', 'The Wicked Day']",4,No
212,Summer,"['The Summer I Turned Pretty', ""We'll Always Have Summer"", ""It's Not Summer Without You"", 'The Summer of Skinny Dipping']",4,No
213,The Folk of the Air,"['The Cruel Prince', 'The Wicked King', 'The Queen of Nothing']",3,No
214,The Forever War,['The Forever War'],1,No
215,Last Survivors,"['Life As We Knew It', 'The Dead and the Gone', 'This World We Live In']",3,Yes
216,The Original Shannara Trilogy,"['The Sword of Shannara', 'The Elfstones of Shannara', 'The Wishsong of Shannara', 'First King of Shannara']",4,Yes
217,A Song of Ice and Fire (1-in-2),"['A Storm of Swords: Blood and Gold', 'A Storm of Swords: Steel and Snow', 'A Dance with Dragons: Dreams and Dust', 'A Dance with Dragons 2: After the Feast']",4,Yes
218,Mark of the Lion,"['A Voice in the Wind', 'An Echo in the Darkness', 'As Sure as the Dawn']",3,Yes
219,Rama,"['Rendezvous with Rama', 'Rama Revealed', 'The Garden of Rama']",3,No
220,Love Me with Lies,"['The Opportunist', 'Thief', 'Dirty Red']",3,Yes
