,saga,books,number,finished
3390,Shameless,['Shameless'],1,Yes
3391,The Crescent Chronicles,['Found'],1,Yes
3392,Dangerous Girls,['Dangerous Girls'],1,Yes
3393,The Snowy Series,['The Cheerleader'],1,No
3394,Tamworth Saga,['Dark Angels'],1,Yes
3395,Hunter's Blades,"['The Two Swords', 'The Thousand Orcs']",2,Yes
3396,Allie Fortune Mystery,['Miss Match'],1,No
3397,Lake People,['Veiled Eyes'],1,No
3398,Saxon,['The Forever Queen'],1,Yes
3399,Bancroft Brothers,"['Taming Rafe', 'By Love Undone']",2,Yes
3400,The New Heroes/Quantum Prophecy,['Super Human'],1,Yes
3401,Dreamsongs,"['Dreamsongs, Volume I']",1,Yes
3402,Sleepless,['Callum & Harper'],1,No
3403,The Knights of Arrethtrae,['Sir Bentley and Holbrook Court'],1,Yes
3404,That Second Chance,['The Butterfly Garden'],1,No
3405,The Reaper Series,['Reaping Me Softly'],1,Yes
3406,The Slayer Chronicles,['Second Chance'],1,Yes
3407,For His Pleasure,['For His Pleasure'],1,Yes
3408,The Eden Trilogy,['Eden'],1,No
3409,The Crimson Chalice trilogy,['The Crimson Chalice'],1,Yes
3410,Regarding the...,"['Regarding the Fountain: A Tale, in Letters, of Liars and Leaks']",1,Yes
3411,Boudica,['Dreaming the Eagle'],1,No
3412,Caught Up in Love,['Playing With Her Heart'],1,No
3413,Queen of the Orcs,"[""King's Property"", 'Clan Daughter', 'Royal Destiny']",3,Yes
3414,The Queen's Quarter,['New Moon'],1,Yes
3415,Janet Maple,"['Bad Guys Get Caught', 'To Catch a Bad Guy']",2,No
3416,Across the Stars,['Suddenly a Bride'],1,Yes
3417,Insignia,['Vortex'],1,No
3418,Ghost Seer,['Ghost Layer'],1,No
3419,Against the Wall,['Against the Wall'],1,No
3420,Dragonslayer,"[""The Dragonslayer's Sword""]",1,Yes
3421,The Ability,['The Ability'],1,No
3422,Forgotten Realms: Elminster,['Elminster: The Making of a Mage'],1,No
3423,ES : Eternal Sabbath,"['ES: Eternal Sabbath, #1']",1,Yes
3424,Interim Goddess of Love,"['Interim Goddess of Love', 'Queen of the Clueless']",2,Yes
3425,Payne & Jones,['Sword of God'],1,No
3426,Doona,['Decision at Doona'],1,Yes
3427,Snow Sisters,['Sisters in Love'],1,Yes
3428,The Road to Nowhere,['The Book of the Unnamed Midwife'],1,Yes
3429,House on Cold Hill,['The House on Cold Hill'],1,No
3430,Pimpernel,['Pimpernel'],1,Yes
3431,Blue Moon,"['Holding on to Chaos', 'Not Part of the Plan', 'The Last Second Chance', 'Fall Into Temptation', 'No More Secrets']",5,Yes
3432,P.S.,['P.S. I Hate You'],1,Yes
3433,Onyx Webb,"['Onyx Webb: Book One: Episodes 1, 2, 3', 'Onyx Webb: Book Three: Episodes 7, 8, 9', 'Onyx Webb: Book Five: Episodes 13, 14, 15', 'Onyx Webb: Book Four: Episodes 10, 11, 12']",4,Yes
3434,The Impossible Quest,['Escape From Wolfhaven Castle'],1,Yes
3435,The Carsington Family,"['Lord Perfect', 'Mr. Impossible']",2,Yes
3436,Gilda Joyce,['Gilda Joyce: Psychic Investigator'],1,No
3437,Bloodline,"['Bloodline', 'Reckoning']",2,No
3438,Hazelwood High,['Darkness Before Dawn'],1,Yes
3439,The Lancaster Family,['Courting Miss Lancaster'],1,No
3440,Darkover - Publication Order,"['The Forbidden Tower', ""Exile's Song"", 'Darkover Landfall', 'The Heritage of Hastur', 'Thendara House']",5,Yes
3441,Circuit of Heaven,['Circuit of Heaven'],1,No
3442,Magic: The Gathering: Masquerade Cycle,['Nemesis'],1,Yes
3443,Timber Ridge Reflections,"['From a Distance', 'Beyond This Moment', 'Within My Heart']",3,No
3444,The Dream,['The Man of My Dreams'],1,No
3445,Blackstone Chronicles,['An Eye for an Eye: The Doll'],1,No
3446,Buffy the Vampire Slayer Comic,['Tales of the Slayers'],1,Yes
3447,Ultra Cute,"['Ultra Cute, Vol. 1', 'Ultra Cute, Vol. 2']",2,Yes
3448,The Beach Cafe,['The Beach Cafe'],1,Yes
3449,Blood and Sex,['Jonas'],1,No
3450,The Merry Widows,['A Scandalous Affair'],1,No
3451,Prison Nation,['Prison Nation'],1,No
3452,The Wives of King David,"['Michal', 'Abigail']",2,Yes
3453,Bluebonnet,['The Care and Feeding of an Alpha Male'],1,No
3454,The Gatekeeper Trilogy,"['Sons of Entropy', 'Ghost Roads']",2,Yes
3455,Wicked Games,['Her Vampire Husband'],1,Yes
3456,Emily Fox-Seton,['The Making of a Marchioness'],1,Yes
3457,Jax & Gia,"['Aftershock', 'Afterburn']",2,No
3458,The Wests,"[""What the Bride Didn't Know""]",1,Yes
3459,Most Wanted,['Wanted'],1,Yes
3460,New York,['Truly'],1,No
3461,Out of Line,['Out of Line'],1,Yes
3462,Rune Alexander,['Shiv Crew'],1,No
3463,Ancient Shores,['Ancient Shores'],1,Yes
3464,Songs of Submission,['Sing'],1,No
3465,Attack on Titan: Junior High Omnibus,"['Attack on Titan: Junior High Omnibus, Vol. 1']",1,No
3466,Lost & Found,['Lost & Found'],1,Yes
3467,Love...,"['Love... And Sleepless Nights', 'Love... From Both Sides']",2,No
3468,Bella Vista Chronicles,['The Apple Orchard'],1,No
3469,The Wolf Gift Chronicles,"['The Wolf Gift', 'The Wolves of Midwinter']",2,No
3470,Cinderella Sisterhood,"['If the Slipper Fits', 'Stroke of Midnight']",2,Yes
3471,Temporal Displacement,['A Long Time Until Now'],1,Yes
3472,Gretel,['Gretel'],1,Yes
3473,Briar U,['The Chase'],1,No
3474,Be for Me,['Breathe for Me'],1,No
3475,Flicka,['Green Grass of Wyoming'],1,No
3476,Primes,"['I Thirst for You', 'I Burn for You']",2,No
3477,The Sword of Shannara - Split Edition,"['The Secret of the Sword', 'In the Shadow of the Warlock Lord', ""The Druids' Keep""]",3,No
3478,Ethical Vampire,"['The Society of S', 'The Year of Disappearances', 'The Season of Risks']",3,Yes
3479,The Rover Adventures,['Rover Saves Christmas'],1,No
3480,The Rosewood Trilogy,"['Believe in Me', 'Remember Me']",2,No
3481,Shifting Plains,['Shifting Plains'],1,No
3482,Bastion Club,['A Fine Passion'],1,Yes
3483,Kiera Hudson Series One,['Vampire Shift'],1,Yes
3484,The Grimm Diaries Prequels,"['Snow White Blood Red', 'Ashes to Ashes and Cinder to Cinder', 'Beauty Never Dies', 'Ladle Rat Rotten Hut']",4,Yes
3485,The Blue Lagoon,['The Blue Lagoon a Romance'],1,No
3486,Austen Addicts,['A Weekend with Mr. Darcy'],1,No
3487,The Darkest Age,"['The Circle of Stone', 'The Book of the Sword', 'The Coming of Dragons']",3,No
3488,Royal Wedding,['Once Upon a Prince'],1,Yes
3489,Kylie Ryans,['Girl with Guitar'],1,Yes
3490,World of Samar,['Emerald'],1,Yes
3491,Handcuffs and Happily Ever Afters,"['Size Matters', 'How Hard Can It Be?']",2,Yes
3492,The Friessen Legacy,['The Forgotten Child'],1,Yes
3493,Girls Do Or Don't,"[""Big Girls Don't Cry""]",1,Yes
3494,Tales of the Crusaders,['The Talisman'],1,Yes
3495,Origins,['Antarktos Rising'],1,Yes
3496,Cherokee Pointe Trilogy,['The Fifth Victim'],1,No
3497,Border Watch,['Shattered Sky'],1,Yes
3498,No Exceptions,"[""The Lover's Promise""]",1,Yes
3499,The Legend of ZERO,"[""Zero's Return"", 'Zero Recall']",2,No
3500,The Kurosagi Corpse Delivery Service,"['The Kurosagi Corpse Delivery Service, Volume 1']",1,Yes
3501,Wings of Glory,['A Distant Melody'],1,Yes
3502,A Silent Voice,"['A Silent Voice, Vol. 1']",1,Yes
3503,Mayhem,['Havoc'],1,Yes
3504,All Souls Universe,"[""Time's Convert""]",1,Yes
3505,Summer Hill,['The Girl from Summer Hill'],1,Yes
3506,Tales of Alderley,['The Weirdstone of Brisingamen'],1,No
3507,War of the Roses,"['The Uncrowned Queen', 'The Exiled', 'The Innocent']",3,No
3508,Pigs Don't Fly,['The Unlikely Ones'],1,Yes
3509,Sister Fidelma,['Valley of the Shadow'],1,Yes
3510,Butterfly Trilogy,['Butterfly'],1,No
3511,Lord Ramage,['Ramage'],1,Yes
3512,The Steerswoman,['The Steerswoman'],1,Yes
3513,Sinclare Brothers,"[""Under the Highlander's Spell""]",1,Yes
3514,The Aspect-Emperor,"['The White Luck Warrior', 'The Judging Eye']",2,No
3515,Rachel Hill,['The Year Nick McGowan Came to Stay'],1,No
3516,The Elusive Lords,['An Heir of Deception'],1,No
3517,The Siege,['The Siege'],1,No
3518,"Lord Richard, Vampire",['Keeper of the King'],1,Yes
3519,The Broadmoor Legacy,"[""A Daughter's Inheritance""]",1,Yes
3520,Bardic Voices,"['The Lark and the Wren', 'The Eagle & the Nightingales']",2,Yes
3521,Valdemar: Mage Wars,"['The Black Gryphon', 'The Silver Gryphon', 'The White Gryphon']",3,Yes
3522,Neuseeland-Saga,['Song of the Spirits'],1,No
3523,Unicorn and Dragon,['Unicorn and Dragon'],1,No
3524,Mairelon,"[""Magician's Ward"", 'Mairelon the Magician']",2,No
3525,Mortal Kiss,['Mortal Kiss'],1,Yes
3526,D.C. Detectives,['Sacred Sins'],1,Yes
3527,Dungirri,['As Darkness Falls'],1,No
3528,The Mathews Family,['No More Wasted Time'],1,No
3529,Skins,['Skins'],1,Yes
3530,"Tall, Dark & Dangerous","[""Frisco's Kid""]",1,Yes
3531,Court of Fives,['Court of Fives'],1,Yes
3532,The Wicked + The Divine (Single Issues),['The Wicked + The Divine #5'],1,Yes
3533,Told You,['Told You So'],1,No
3534,Indexing,"['Indexing', 'Reflections']",2,Yes
3535,Oxford Blue,['The First Time We Met'],1,No
3536,Dogs of War,['Dogs of War'],1,Yes
3537,Young Repairman Jack,['Secret Histories'],1,No
3538,Cardboard Box of the Rings,"[""Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings""]",1,No
3539,Alpha Men,['The Wingman'],1,Yes
3540,Lizzie Miller,['The Second Assistant: A Tale from the Bottom of the Hollywood Ladder'],1,Yes
3541,Black Dragon,['Tea with the Black Dragon'],1,No
3542,Death Works Trilogy,['Death Most Definite'],1,Yes
3543,Tiger and Del,"['Sword-Sworn', 'Sword-Born', 'Sword-Breaker', 'Sword-Maker', 'Sword-Singer', 'Sword-Dancer']",6,No
3544,The Dark Elite,['Firespell'],1,No
3545,Star Wars: Jedi Quest,"['The Way of the Apprentice', 'The School of Fear']",2,Yes
3546,Chronicles of the Last Emperor of Melnibone,['Elric: The Stealer of Souls'],1,No
3547,Kindred,['The Temptation'],1,Yes
3548,Parallon Trilogy,['Fever'],1,No
3549,Blood Sword Legacy,['Master of Craving'],1,Yes
3550,Ladies of Liberty,['A Lady of High Regard'],1,Yes
3551,Lady of the Reeds,"['Lady of the Reeds', 'House of Illusions']",2,Yes
3552,Casters,['Comes the Night'],1,No
3553,Tallent & Lowery,['13'],1,No
3554,The Rules for Disappearing,['The Rules for Disappearing'],1,Yes
3555,Sweet Home Carolina,['The Passion of Patrick MacNeill'],1,No
3556,Arcane Underworld,['Premonitions'],1,No
3557,Tracers,"['Snapped', 'Exposed', 'Unspeakable', 'Untraceable', 'Scorched', 'Twisted']",6,Yes
3558,The Amish Wonders,['A Miracle of Hope'],1,Yes
3559,The Crusades Trilogy,['The Road to Jerusalem'],1,Yes
3560,The Avalonia Chronicles,['The Last of the Firedrakes'],1,Yes
3561,Drew Farthering Mystery,['Rules of Murder'],1,No
3562,War of the Realms,['Ninth City Burning'],1,Yes
3563,The Green Mile,"[""Coffey's Hands"", 'The Bad Death of Eduard Delacroix', 'Night Journey']",3,No
3564,Fairy Tale Reform School,['Flunked'],1,Yes
3565,You Will Pay,['Payback'],1,Yes
3566,Warm Bodies,['The Burning World'],1,No
3567,The Stanislaskis,['Considering Kate'],1,No
3568,An Unforgettable Lady,['An Irresistible Bachelor'],1,No
3569,Outcast Season,['Unseen'],1,Yes
3570,Erec Rex,"['The Three Furies', 'The Monsters of Otherness', ""The Dragon's Eye""]",3,Yes
3571,Death's Head,"[""Death's Head""]",1,Yes
3572,Cursed MacKinnons,['Curse of the Gargoyle'],1,Yes
3573,The Unwritten,"['The Unwritten, Vol. 1: Tommy Taylor and the Bogus Identity']",1,Yes
3574,Vampire Babylon,"['Midnight Reign', 'Break of Dawn', 'A Drop of Red', 'The Path of Razors', 'Deep In the Woods']",5,No
3575,Marriage by Scandal,"[""The Earl's Inconvenient Wife""]",1,No
3576,Gresham Chronicles,"[""The Courtship of the Vicar's Daughter"", 'The Widow of Larkspur Inn']",2,Yes
3577,Traveler's Gate,['House of Blades'],1,Yes
3578,Demon Isle Witches,['Ghostly Guardian'],1,Yes
3579,Craft Sequence,['Full Fathom Five'],1,Yes
3580,Star Trek: The Original Series,['Ishmael'],1,No
3581,Needing Moore,['Searching For Moore'],1,No
3582,Sutton Family,['Beautiful Bad Man'],1,No
3583,The Blood Vivicanti,['Mary Paige'],1,No
3584,Curio,['Curio'],1,No
3585,The Pocket Watch Chronicles,['The Pocket Watch'],1,Yes
3586,Green Knowe,"['The Children of Green Knowe', 'Treasure of Green Knowe']",2,Yes
3587,Horatio Lyle,['The Obsidian Dagger: Being the Further Extraordinary Adventures of Horatio Lyle'],1,Yes
3588,The Wicked + The Divine (Collected Editions),"['The Wicked + The Divine, Vol. 1: The Faust Act']",1,No
3589,Madam of Espionage,['India Black and the Shadows of Anarchy'],1,No
3590,James Asher,['Those Who Hunt the Night'],1,Yes
3591,New York Billionaires,['Dirty Rich'],1,Yes
3592,The Queen's Blade,"[""The Queen's Blade""]",1,Yes
3593,Trickster,"['Son of a Trickster', 'The Grimrose Path', 'Trick of the Light']",3,No
3594,Zodiac Legacy,"[""The Zodiac Legacy: The Dragon's Return""]",1,Yes
3595,Reign of the Fallen,['Reign of the Fallen'],1,Yes
3596,Chibi Vampire,"['Chibi Vampire, Vol. 02', 'Chibi Vampire, Vol. 03', 'Chibi Vampire, Vol. 04', 'Chibi Vampire, Vol. 05', 'Chibi Vampire, Vol. 06', 'Chibi Vampire, Vol. 07', 'Chibi Vampire, Vol. 08']",7,No
3597,Fred the Mermaid,['Swimming Without a Net'],1,No
3598,Signs of the Zodiac,"['The Taste of Night', 'Cheat the Grave', 'The Scent of Shadows', 'City of Souls', 'The Touch of Twilight']",5,No
3599,Valdemar: Collegium Chronicles,"['Intrigues', 'Foundation']",2,Yes
3600,Grace,['Falling From Grace'],1,Yes
3601,The Dark Queen Saga,"['The Courtesan', 'The Huntress', 'The Silver Rose', 'The Dark Queen']",4,No
3602,Song of Acadia,['The Meeting Place'],1,Yes
3603,The Lewis Legacy,['Awakening'],1,Yes
3604,The Dark Gifts,['Birthright'],1,No
3605,Legends of Marithia,['Prophecies Awakening'],1,No
3606,Jane Austen,"[""I Was Jane Austen's Best Friend""]",1,No
3607,Seckry Sequence,['City of the Falling Sky'],1,Yes
3608,Triad of Being,['The Light-field'],1,Yes
3609,Spiral Arm,['The January Dancer'],1,Yes
3610,The Chronicles of Faerie,"[""The Hunter's Moon""]",1,No
3611,Zorro,['The Mark of Zorro'],1,No
3612,Buffy the Vampire Slayer: Season 5,['Tempted Champions'],1,Yes
3613,Supernatural Freak,['Supernatural Freak'],1,Yes
3614,Neil & Elaina,['Cherry Girl'],1,No
3615,Relic Master,['The Dark City'],1,No
3616,Find Me,['Find Me'],1,Yes
3617,The Bartimaeus Trilogy: Graphic Novel,['The Amulet of Samarkand'],1,No
3618,Eric Carter,['Broken Souls'],1,Yes
3619,Children of the Sea,['Forgotten Sea'],1,No
3620,Joshua,['Joshua'],1,No
3621,D.Gray-man,"['D.Gray-man, Vol. #2']",1,Yes
3622,Fingerprints,['Gifted Touch'],1,Yes
3623,Silverglass,['Silverglass'],1,No
3624,Miranda Trilogy,"['Miranda', 'Phoebe Deane', 'Marcia Schuyler']",3,No
3625,Swordbird,['Swordbird'],1,Yes
3626,Sinner and Saint,['Crossing the Line'],1,Yes
3627,Echo City,['Echo City'],1,Yes
3628,A Girl,['What a Girl Wants'],1,Yes
3629,The Invisibles Deluxe,['The Invisibles Book One Deluxe Edition'],1,Yes
3630,Ward Family,['Faked'],1,Yes
3631,Axis of Time,"['Weapons of Choice', 'Designated Targets']",2,No
3632,Salem,['The Lace Reader'],1,No
3633,Rowan of Rin,"['Rowan and the Keeper of the Crystal', 'Rowan and the Ice Creepers', 'Rowan of Rin', 'Rowan and the Zebak', 'Rowan and the Travelers']",5,No
3634,Wintercraft,['Shadowcry'],1,Yes
3635,Harrow House,['The Infinite'],1,Yes
3636,Possessions,"['Possessions', 'The Evil Within']",2,No
3637,Whispering Springs,['Light in Shadow'],1,Yes
3638,The Visitor's Series,['The Brown House'],1,No
3639,McCabe Sisters,"['Fen', 'Cat']",2,Yes
3640,Scandalous,['Scandalous'],1,No
3641,Rogues Club,['An Undeniable Rogue'],1,No
3642,Undead in Brown County,"[""The Vampire's Warden""]",1,Yes
3643,The Adventures of Jack Brenin,['The Golden Acorn'],1,Yes
3644,Prospero's Daughter,"['Prospero Regained', 'Prospero in Hell', 'Prospero Lost']",3,Yes
3645,Surrender,"['Scorched', 'Seduced']",2,Yes
3646,The Golden City,['The Seat of Magic'],1,Yes
3647,First Responders,['From Ashes to Honor'],1,No
3648,Linked,['Linked'],1,Yes
3649,The Hellraisers,"[""Demon's Bride""]",1,No
3650,Big Stone Gap,['Big Stone Gap'],1,No
3651,The Second Chronicles of Thomas Covenant,"['The One Tree', 'White Gold Wielder', 'The Wounded Land']",3,No
3652,Illusive,['Illusive'],1,No
3653,Waves of Freedom,"['Through Waters Deep', 'Anchor in the Storm']",2,Yes
3654,The Elemental Trilogy,"['The Burning Sky', 'The Perilous Sea']",2,No
3655,Witch Central,['An Imperfect Witch'],1,Yes
3656,The Mister Series,['Mr. Mayfair'],1,No
3657,Swords and Fire,"['The Defiant Heir', 'The Unbound Empire', 'The Tethered Mage']",3,No
3658,Star Wars: Aftermath,['Aftermath'],1,No
3659,Cruel Crown,['Devious Lies'],1,No
3660,MeruPuri,"['MeruPuri, Vol. 2', 'MeruPuri, Vol. 3']",2,No
3661,Edgar Allan Poe Mystery,['Nevermore'],1,Yes
3662,Legends of the Raven,"['Demonstorm', 'Shadowheart', 'Elfsorrow', 'Ravensoul']",4,Yes
3663,The Secret Country,"['The Secret Country', 'The Hidden Land', 'The Whim of the Dragon']",3,No
3664,Rough Riders,"[""Cowgirls Don't Cry""]",1,Yes
3665,Real Mermaids,"[""Real Mermaids Don't Wear Toe Rings""]",1,Yes
3666,Eclipse Bay,['Eclipse Bay'],1,Yes
3667,Nightside,['Something from the Nightside'],1,No
3668,Virgin New Adventures,"['Doctor Who: Nightshade', 'Doctor Who: Blood Harvest', 'Doctor Who: Timewyrm-Exodus']",3,Yes
3669,Wolf Chronicles,"['Promise of the Wolves', 'Secrets of the Wolves']",2,Yes
3670,The Immortal Choice,['Birth of the Nyxian'],1,Yes
3671,The Prometheus Wars,['Beyond Hades'],1,Yes
3672,Sweet Seasons,['The Fall of Candy Corn'],1,No
3673,The Rosie Black Chronicles,['Genesis'],1,No
3674,Second Service,['The Wedding Trap'],1,Yes
3675,Crimson City,['Crimson & Steam'],1,No
3676,The Last Bastion,['The Last Bastion of the Living'],1,No
3677,Eyes of E'veria,['The Ryn'],1,No
3678,Cincinnati,['Into the Dark'],1,No
3679,Groosham Grange,['Groosham Grange'],1,No
3680,Philippa Munson,['Must Love Black'],1,No
3681,Sisters of Isis,"['The Summoning', 'Divine One']",2,No
3682,Blair Mallory,['To Die For'],1,Yes
3683,Sexy in NYC,"[""You Don't Know Jack""]",1,No
3684,Godspeaker Trilogy,['Empress'],1,Yes
3685,Virgin Missing Adventures,['Doctor Who: Goth Opera'],1,Yes
3686,Paranormal Public,['Elemental Rising'],1,Yes
3687,The Color of Distance,['The Color of Distance'],1,No
3688,Destiny's Path,"['Warrior Princess', 'Caradoc of the North Wind', 'Merion of the Stones']",3,No
3689,Guinevere,['Child of the Northern Spring'],1,Yes
3690,The Lakeland Knight,['My Sparkling Misfortune'],1,No
3691,Mackinac Island Trilogy,"['Once on This Island', 'Farewell to the Island']",2,Yes
3692,The Great and Terrible,['Prologue: The Brothers'],1,Yes
3693,Growing Pains,['Lost and Found'],1,Yes
3694,Thieftaker Chronicles,['A Plunder of Souls'],1,Yes
3695,Zombie Games,['Origins'],1,Yes
3696,Last Man Standing,['What A Lady Wants'],1,No
3697,Erotic Dark,['The Erotic Light'],1,No
3698,The Indian in the Cupboard,['The Return of the Indian'],1,No
3699,Lifespan of Starlight,['Lifespan of Starlight'],1,Yes
3700,Kat Dubois Chronicles,['Ink Witch'],1,Yes
3701,The Bride Trilogy,['The Wild Child'],1,Yes
3702,Mageverse,"['Master of the Night', 'Master of Smoke', 'Master of Swords']",3,No
3703,Stay More,"['Lightning Bug', 'The Architecture of the Arkansas Ozarks']",2,Yes
3704,Wexford Family,['Silken Threads'],1,Yes
3705,The Starkin Crown,['The Starkin Crown'],1,Yes
3706,Elm Creek Quilts,"['The Wedding Quilt', 'The Sugar Camp Quilt']",2,No
3707,Kyle Adams,['Another Homecoming'],1,No
3708,The Afterglow Trilogy,['Beckoning Light'],1,Yes
3709,Orion,['Orion'],1,No
3710,"Nights in Bliss, Colorado",['Once Upon a Time in Bliss'],1,Yes
3711,Wakefield Romance,['Two Weeks with a SEAL'],1,Yes
3712,Descendant Prophecies,['From Gods'],1,Yes
3713,One Rose Trilogy,['The Compass Rose'],1,No
3714,Destroyermen,"['Straits of Hell', 'Into the Storm']",2,Yes
3715,Ladies of Covington,['The Ladies of Covington Send Their Love'],1,No
3716,Eden Sisters,['Into the Woods'],1,No
3717,Cardinia's Royalty,"['You Belong to Me', 'Once a Princess']",2,Yes
3718,Sixty-Eight Rooms,['The Sixty-Eight Rooms'],1,Yes
3719,Dark Matter,['Contagion'],1,Yes
3720,The Dead House,['The Dead House'],1,Yes
3721,wanpanman / ONE-PUNCH MAN,"['One-Punch Man, Vol. 1']",1,No
3722,The Devaney Brothers,"[""Daniel's Desire"", ""Patrick's Destiny"", ""Michael's Discovery"", ""Sean's Reckoning"", ""Ryan's Place""]",5,No
3723,The Witch Boy,"['The Witch Boy', 'The Hidden Witch']",2,No
3724,Nexus,"['Checkmate, My Lord']",1,Yes
3725,Grace and Fury,['Grace and Fury'],1,Yes
3726,Cocky Suits Chicago,['Possessive Playboy'],1,Yes
3727,Tumble Creek,['Talk Me Down'],1,No
3728,Legends of Dune,['The Butlerian Jihad'],1,No
3729,Holloway Pack,['Darkness & Light'],1,No
3730,Midnight Dragonfly,['Shattered Dreams'],1,Yes
3731,Full,['Full House'],1,No
3732,Mackenzie Blue,['Mackenzie Blue'],1,Yes
3733,The Elven Lords,"[""The Fire Lord's Lover""]",1,Yes
3734,Annihilate Me,"['Annihilate Me Vol. 1', 'Annihilate Me Vol. 3']",2,No
3735,Turn!verse,['Turn'],1,No
3736,The Silver Chain Series,['The Silver Chain'],1,No
3737,Gilded Wings,['Infatuate'],1,No
3738,Books of the Infinite,['Prophet'],1,No
3739,Sweet Addiction,"['Sweet Obsession', 'Sweet Addiction', 'Sweet Possession']",3,Yes
3740,High Druid of Shannara,"['Jarka Ruus', 'Tanequil', 'Straken']",3,Yes
3741,Someone Else's Fairytale,"[""Someone Else's Fairytale""]",1,Yes
3742,The Star-Touched Queen,['A Crown of Wishes'],1,Yes
3743,Star Trek: The Next Generation - The Second Decade,['Before Dishonor'],1,No
3744,OtherWorldly Men,"['My Favorite Earthling', 'How to Lose an Extraterrestrial in 10 Days', 'Your Planet or Mine?']",3,Yes
3745,Eighth Doctor Adventures,"['Doctor Who: Endgame', 'Doctor Who: The Eight Doctors', 'Doctor Who: Reckless Engineering', 'Doctor Who: Vanishing Point']",4,Yes
3746,Left Behind: Apocalypse,"[""Apocalypse Dawn: The Earth's Last Days: The Battle Begins""]",1,No
3747,Laws Of The Blood,"['Deceptions', 'Companions', 'The Hunt']",3,No
3748,Tales of the Barque Cats,"['Catalyst', 'Catacombs']",2,Yes
3749,The Elizabethan Lady Series,['Lady in White'],1,Yes
3750,Willow Tate,['Trolls in the Hamptons'],1,No
3751,Legacy of the Drow,['Starless Night'],1,No
3752,Alabama Summer,['Where We Belong'],1,No
3753,Myth-O-Mania,"['Say Cheese, Medusa!']",1,No
3754,The Gregory Sisters,"['While Love Stirs', 'When Love Calls']",2,No
3755,The Chosen Saga,['Girl of Myth and Legend'],1,No
3756,Childe Cycle,"['Dorsai!', 'Lost Dorsai']",2,Yes
3757,Annals of the Western Shore,['Gifts'],1,No
3758,Raven,"['Soul Symmetry', 'White Raven']",2,No
3759,The Christmas Box Trilogy,['Timepiece'],1,Yes
3760,Cass Shipton,"['Charmed Circle', 'Circle Of Five']",2,Yes
3761,Callister,['The Love Of A Cowboy'],1,No
3762,Howl,['Howl'],1,No
3763,Book of the Order,"['Geist', 'Harbinger', 'Wrayth', 'Spectyr']",4,Yes
3764,World of the Lupi,"['Death Magic', 'Mortal Sins']",2,Yes
3765,Code Name,"['Code Name: Bikini', 'Code Name: Baby']",2,No
3766,The Warrior,"[""The Warrior's Game"", ""The Warrior's Wife""]",2,Yes
3767,"Drums, Girls & Dangerous Pie",['After Ever After'],1,Yes
3768,Derkholm,['Dark Lord of Derkholm'],1,No
3769,The Legend of the Gate Keeper,['Land of Shadows'],1,Yes
3770,William Marshal,['The Scarlet Lion'],1,Yes
3771,Deed,"['The Deed', 'The Chase', 'The Key']",3,No
3772,Love Letters,['Perfect Strangers'],1,Yes
3773,Spires Universe,['For Real'],1,No
3774,As the World Dies,['The First Days'],1,Yes
3775,Gals!,['Gals! Vol. 1'],1,No
3776,Soulwood,['Blood of the Earth'],1,Yes
3777,W.I.T.C.H. Chapter Books,['Keeping Hope'],1,No
3778,Bel Dame Apocrypha,"[""God's War""]",1,No
3779,Cordially Invited,['I Temporarily Do'],1,Yes
3780,The Hunger,['Devoured'],1,No
3781,Masters of Seduction,['A Duke but No Gentleman'],1,Yes
3782,The Songs of Eirren,"[""Hero's Song""]",1,No
3783,Colette Trilogy,"[""A Silent Ocean Away: Colette's Dominion""]",1,Yes
3784,Mysteria,['Mysteria'],1,Yes
3785,Shadowchasers,['Shadow Blade'],1,Yes
3786,Fast Track,['Jacked Up'],1,Yes
3787,Vamped,['Vamped'],1,No
3788,The Dalemark Quartet,['The Spellcoats'],1,No
3789,Circle of Three,['So Mote it Be'],1,No
3790,Divided Worlds,['Disconnect'],1,Yes
3791,Bigfoot,['Bigfoot: I Not Dead'],1,No
3792,Game of Shadows,['Falling Light'],1,No
3793,The Walking Dead (Single Issues),['The Walking Dead #1'],1,Yes
3794,The Fall Up,['The Fall Up'],1,No
3795,Magic in Manhattan,"['Frogs & French Kisses', 'Parties & Potions', 'Bras & Broomsticks', 'Spells & Sleeping Bags']",4,Yes
3796,The Gateway Trilogy,"['Spirit Ascendancy', 'Spirit Prophecy', 'Spirit Legacy']",3,No
3797,Memoires d'un medecin,['Taking the Bastile'],1,Yes
3798,The Promises of Dr. Sigmundus,"['The Hollow People', 'The Cracked Mirror']",2,Yes
3799,Morgan Kingsley,"['The Devil You Know', 'The Devil Inside']",2,Yes
3800,Bragg Saga,['Dark Fires'],1,Yes
3801,Pearl Saga,['Mistress of the Pearl'],1,No
3802,Ladies of History,['Just Jane'],1,No
3803,The Willows,['Haven'],1,No
3804,Elsie Hawkins,['The Rocky Road to Romance'],1,Yes
3805,McBride Family,['The Secret Passion of Simon Blackwell'],1,Yes
3806,Remy Chandler,['Walking In the Midst of Fire'],1,Yes
3807,The Grand Tour,['Jupiter'],1,No
3808,The Graistan Chronicles,"['A Love for all Seasons', ""Autumn's Flame"", ""Summer's Storm"", ""Spring's Fury"", ""Winter's Heat""]",5,No
